,feature,class,86,94,110,112,117,Control,73,76,89,93,195,196,iKO,iKO vs. CON,iKO vs. CON,63,80,83,108,116,G519R,G519R vs. CON,G519R vs. CON,248,249,255,257,Lrig1-D3,Lrig-D3 vs. CON,Lrig-D3 vs. CON,ALI,Lipid,
,,,VilERT-G519R-86,VilERT-G519R-94,VilERT-G519R-110,VilERT-G519R-112,VilERT-G519R-117,,VilERT-M5B-73,VilERT-M5B-76,VilERT-G519R-89,VilERT-G519R-93,Lrig-M5B-195,Lrig-M5B-196,,,,VilERT-G519R-63,VilERT-G519R-80,VilERT-G519R-83,VilERT-G519R-108,VilERT-G519R-116,,,,Lrig1-M5B-248,Lrig1-M5B-249,Lrig1-M5B-255,Lrig1-M5B-257,,,,H655ALI,H655Lipid,H655
No.,feature,class,Control,Control,Control,Control,Control,Average,iKO,iKO,iKO,iKO,iKO,iKO,Average,"Fold change (log, base 2)",P-value,G519R,G519R,G519R,G519R,G519R,Average,"Fold change (log, base 2)",P-value,Lrig1-D3,Lrig1-D3,Lrig1-D3,Lrig1-D3,Average,"Fold change (log, base 2)",P-value,DGAT-ALI,DGAT-Lipid,"Fold change (log, base 2)"
373,Cer 42:2;2,Cer,0.008184253,0.024839381,0.015355427,0.017102646,0.014414759,0.015979293,0.06318302,0.046455634,0.033884206,0.049757318,0.039932111,0.05663429,0.048307763,1.6,0.00,0.026890201,0.02261987,0.030111681,0.016937756,0.060467646,0.031405431,1.0,0.09,0.022661738,0.086447964,0.025652497,0.036136013,0.042724553,1.4,0.09,0.450894293,0.089119251,-2.3
172,DAG 18:1;0_24:1;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.036434238,#DIV/0!
188,DAG 18:2;0_24:0;0,DAG,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,0.002462613,#DIV/0!
217,HexCer 38:0;2,HexCer,,,,,,0,,,,,,,0,NA,NA,,,0.015045888,,,0.015045888,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
236,HexCer 44:1;3,HexCer,,,,,,0,,,,,,,0,NA,NA,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0.023797181,,
65,DAG 12:0;0_18:0;0,DAG,,,,0.000547569,,0.000547569,,0.000960176,,,,,0.000960176,0.8,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
242,LPA 20:3;0,LPA,,,,,,0,,,,,,,0,NA,NA,,,,,0.001475224,0.001475224,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
67,DAG 14:0;0_16:0;0,DAG,0.015907332,0.014279087,0.025077083,0.026626792,0.02347518,0.021073095,0.020715487,0.046796193,0.011312756,0.012540602,0.017944202,0.023884851,0.022199015,0.1,0.86,,,0.01761164,0.02960229,,0.023606965,0.2,0.65,0.019068117,0.023094997,0.021738165,0.023151433,0.021763178,0.0,0.82,,,
245,LPC 15:1;0,LPC,,,,,,0,,,,,,,0,NA,NA,0.002668692,,,,,0.002668692,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
69,DAG 14:0;0_17:0;0,DAG,0.002346974,,,,,0.002346974,,0.00250368,,0.002386734,,0.002424412,0.002438275,0.1,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,0.002924984,0.004755038,0.003840011,0.7,#DIV/0!,,,
70,DAG 14:0;0_18:0;0,DAG,0.006703399,0.00461043,0.011315076,0.011859819,0.00867593,0.00863293,0.009191677,0.021407588,0.008221682,0.007738735,0.010934309,0.009587034,0.011180171,0.4,0.36,0.00302647,0.006403049,0.00793477,0.016355448,0.007060104,0.008155968,-0.1,0.86,0.006268556,0.009646938,0.007467681,0.004804889,0.007047016,-0.3,0.41,,,
71,DAG 14:0;0_18:1;0,DAG,0.008479293,0.008975761,0.031891856,0.044277131,0.030587247,0.024842258,0.014336762,0.045517553,0.010860005,0.016539711,0.021084616,0.011149536,0.019914697,-0.3,0.58,0.005174758,0.010972577,0.017034737,0.056740798,0.01501094,0.020986762,-0.2,0.75,0.021447317,0.012009195,0.01685401,0.013160282,0.015867701,-0.6,0.31,0.025981279,0.031445478,0.3
