Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
Hex3Cer 36:0;3 (LCB 18:0;2-2H2O),0,0,0,0,0,0,0,25,9.8316,0,0,0,8.1811,0,22.1696,26.4907,0,0,0,0,0,0,21.4956,12.4325,22.8225,15.1406,0,0,0,0,0,2.3782,0,0,9.6218,28.1492,29,0,0,0,0,0
Hex3Cer 38:2;2 (LCB 18:0;2-2H2O),0,0,0,0,0,0,0,1.6278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hex3Cer 32:1;2 (LCB 18:0;2-2H2O),0,0,0,0,0,0,0,0,31.9263,27,0,0,14.6161,23.989,0,0,0,0,0,0,0,0,0,0,0,22.312,0,0,0,0,0,0,0,0,0,31.9626,0,0,0,0,0,0
Hex3Cer 37:4;2 (LCB 18:0;2-2H2O),0,0,0,0,0,0,0,0,32.5495,28.8481,0,0,26.3178,8.344,21.5873,24.7236,0,0,0,0,0,0,23.674,0,66.1631,34.5285,0,0,0,0,16.4879,0,0,10.1327,51.3965,44.4709,0,0,0,0,0,0
"Hex3Cer 37:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,0,0,0,0,0,38.7519,40.0663,0,0,24.5503,21.1199,0,23.8744,0,0,0,0,0,0,28.8538,0,41.2969,39.7514,0,0,0,0,0,0,0,0,39.1561,28.9166,0,0,0,0,0,0
Hex3Cer 38:3;2 (LCB 18:0;2-2H2O),0,0,0,0,0,0,0,0,18.4041,17.3089,0,0,0,0,2.0428,13.9745,0,0,0,0,0,0,6.3554,0,16.9659,9.6489,0,0,0,0,0,0,0,0,18.4267,4.2799,0,0,0,0,0,0
Hex3Cer 38:0;2 (LCB 18:0;2-2H2O),0,0,0,0,0,0,0,0,35.8365,34.8333,0,0,15.0679,13.5782,4.6105,0,0,0,0,0,0,0,0,0,104.5086,98.9906,0,0,0,0,0,0,0,0,15.3096,43.2652,0,0,0,0,0,0
"Hex3Cer 36:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,0,0,0,0,0,55.5476,42.3854,0,0,64.6315,50.2255,44.0026,0,0,0,0,0,0,0,0,0,54.7741,132.6926,0,0,0,0,0,0,0,0,76.6483,78.2392,0,0,0,0,0,0
Hex3Cer 38:0;2 (LCB 18:0;2-H2O),0,0,0,0,0,0,0,0,4.9931,11.5203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1003,0,0,0,0,0,0
"Hex3Cer 42:1;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,0,0,0,0,0,26.3477,0,0,0,21.6934,10.527,0,0,0,0,0,0,0,0,0,24.9028,32.7852,26.6851,0,0,0,0,0,0,0,0,18.9659,32.1046,0,0,0,0,0,0
Hex3Cer 42:0;4 (LCB 18:0;2-2H2O),0,0,0,0,0,0,0,0,27.9333,48.8493,0,0,51.9424,48.224,0,69.2042,0,0,0,0,0,0,41.0291,25.9172,66.2658,73.1381,0,0,0,0,0,0,0,0,36.6187,50.3489,0,0,0,0,0,0
